,listing_id,num_rooms,square_meters,renovation,ceiling_height,garbage_chute,house_size,flat_floor,type_of_building,price_per_month,deposit,utility_bills,rental_period,prepayment,metro,balcony_count,loggia_count,combined_bathroom_count,separated_bathroom_count,windows_street,windows_yard,kids_allowded,pets_allowded,is_dishwasher,is_internet,is_air_conditioner,is_bathtub,is_shower,is_tv,is_furniture_in_kitchen,is_washing_machine,is_furniture_in_rooms,is_fridge,is_phone,passenger_elevator_capacity,cargo_elevator_capacity,square_meters_rounded,parking_mult_lev,roof_parking,ground_parking,parking_unknown,parking_open,undergr_parking
181,271601843,3.0,68.0,2,2.64,1,14,8,0.09018449361797001,48000.0,48000.0,0.0,0,1.0,0.0006131207847946045,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,70.0,0,0,0,1,0,0
183,273907511,1.0,41.0,3,2.64,1,17,10,0.3552198874087286,29999.0,29999.0,0.0,0,1.0,0.0065771138732512125,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,2,0,40.0,0,0,1,0,0,0
184,235355662,1.0,37.0,2,3.0,1,17,14,0.3552198874087286,38000.0,40000.0,0.0,0,1.0,0.0022295301265258345,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,2,0,35.0,0,0,0,1,0,0
185,268903569,3.0,87.0,4,2.7,0,17,14,0.3552198874087286,80000.0,80000.0,0.0,0,1.0,0.019396912100774762,1,0,0,2,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,2,2,85.0,0,0,0,1,0,0
186,274794055,3.0,84.0,4,2.64,0,14,6,0.3552198874087286,95000.0,95000.0,0.0,0,1.0,0.0087509057466139,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,85.0,0,0,0,1,0,0
187,274455296,1.0,38.0,3,2.64,1,17,4,0.17852962488155621,28000.0,28000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,2,0,40.0,0,0,0,1,0,0
188,274838267,1.0,38.0,3,2.74,1,17,11,0.3552198874087286,28000.0,28000.0,0.0,0,1.0,0.0022852683796889804,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,40.0,0,0,0,1,0,0
189,274905945,1.0,35.0,3,2.64,1,24,9,0.3552198874087286,29000.0,29000.0,0.0,0,1.0,0.0087509057466139,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,3,0,35.0,0,0,1,0,0,0
190,273089522,1.0,30.0,2,3.1,0,4,1,0.17852962488155621,30000.0,30000.0,0.0,0,1.0,0.0087509057466139,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,30.0,0,0,1,0,0,0
191,272169225,1.0,38.0,3,2.74,1,17,14,0.040633186555933336,30000.0,18500.0,0.0,0,1.0,0.0022852683796889804,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,2,0,40.0,0,0,1,0,0,0
